timestamp,bitcoin_price,ethereum_price,tether_price,ripple_price,binancecoin_price,solana_price,usd-coin_price,dogecoin_price,cardano_price,staked-ether_price,tron_price,wrapped-bitcoin_price,wrapped-steth_price,chainlink_price,litecoin_price,avalanche-2_price,sui_price,stellar_price,the-open-network_price,leo-token_price,shiba-inu_price,hedera-hashgraph_price,usds_price,polkadot_price,mantra-dao_price,weth_price,hyperliquid_price,ethena-usde_price,bitcoin-cash_price,wrapped-eeth_price
2024-02-27,54478.0,3173.63,1.0,0.5513,401.21,109.85,0.999189,0.089348,0.618548,3168.2,0.139827,54475.0,3675.38,19.1,71.96,39.27,1.67,0.117901,2.14,4.34,1.01e-05,0.111756,1.016,8.09,0.222401,3173.47,8.43,1.0,274.7,3277.18
2024-03-02,62427.0,3431.75,1.0,0.601618,407.35,130.05,0.998544,0.139025,0.714962,3426.93,0.141522,62417.0,3968.95,20.04,84.96,42.68,1.69,0.127078,2.71,4.75,1.652e-05,0.116484,1.016,8.64,0.270165,3426.22,8.43,1.0,315.45,3539.92
2024-03-06,64292.0,3581.53,1.001,0.595283,396.66,126.39,1.003,0.155775,0.697208,3577.79,0.13636,64537.0,4117.42,19.04,82.42,39.72,1.4,0.132621,2.6,5.36,3.629e-05,0.112096,1.016,9.37,0.308649,3573.15,8.43,1.001,403.5,3684.48
2024-03-10,68508.0,3916.04,1.002,0.622514,490.14,144.82,1.0,0.17961,0.744975,3911.86,0.136082,68345.0,4508.76,20.05,90.95,43.09,1.59,0.142573,2.87,5.59,3.51e-05,0.130586,1.016,10.54,0.304711,3916.25,8.43,1.002,433.97,4048.17
2024-03-14,73098.0,4007.91,1.0,0.689655,628.45,163.63,1.001,0.169076,0.763929,4000.2,0.13197,72806.0,4609.6,20.75,97.21,54.78,1.62,0.150874,4.31,6.01,3.2e-05,0.132395,1.016,11.27,0.32661,4001.88,8.43,0.997996,442.37,4121.19
2024-03-18,68425.0,3643.28,0.99983,0.619147,572.03,202.52,1.001,0.154131,0.681772,3647.21,0.126574,68263.0,4228.28,18.65,86.0,58.01,1.6,0.132515,3.87,6.15,2.93e-05,0.116419,1.016,10.07,0.605589,3654.15,8.43,1.001,402.27,3761.17
2024-03-22,65536.0,3493.43,1.0,0.641329,553.72,179.55,1.001,0.155598,0.632776,3486.53,0.121058,65445.0,4046.72,18.43,85.81,53.99,1.82,0.13331,4.07,6.05,2.719e-05,0.109977,1.016,9.18,0.595879,3488.72,8.43,1.001,414.16,3587.21
2024-03-26,69939.0,3588.49,0.999959,0.640038,586.43,189.0,1.001,0.175062,0.6562,3582.37,0.120432,69965.0,4171.42,19.35,90.23,57.63,1.7,0.136564,5.36,6.09,2.867e-05,0.116846,1.016,9.73,0.694883,3590.61,8.43,1.001,488.04,3716.11
2024-03-30,69919.0,3516.1,1.0,0.630585,616.58,192.03,0.999886,0.213123,0.664244,3504.05,0.120028,69863.0,4069.37,19.0,109.27,53.45,1.91,0.142756,5.02,6.07,3.085e-05,0.116278,1.016,9.59,0.705974,3512.29,8.43,1.001,621.97,3636.4
2024-04-03,65440.0,3274.9,1.001,0.585237,550.86,181.44,0.999336,0.182535,0.580372,3267.9,0.116665,65435.0,3798.53,17.98,106.93,46.88,1.73,0.128627,4.86,6.04,2.641e-05,0.1036,1.016,8.58,0.639267,3274.32,8.43,1.001,638.88,3383.48
2024-04-07,69001.0,3362.84,0.998835,0.593399,585.39,178.96,0.997972,0.185693,0.583757,3358.74,0.119514,68968.0,3902.65,17.56,101.24,48.15,1.63,0.12911,5.48,5.77,2.751e-05,0.105991,1.016,8.5,0.68095,3359.4,8.43,0.999517,695.34,3479.53
