,close,predicted
2025-04-22,618.51,
2025-04-23,605.71,
2025-04-24,601.55,
2025-04-25,599.91,
2025-04-26,607.23,
2025-04-27,603.46,
2025-04-28,606.16,
2025-04-29,601.0,
2025-04-30,599.88,
2025-05-01,599.63,
2025-05-02,600.69,
2025-05-03,599.36,
2025-05-04,586.03,
2025-05-05,597.61,
2025-05-06,602.57,
2025-05-07,602.7,
2025-05-08,629.17,
2025-05-09,666.29,
2025-05-10,663.9,
2025-05-11,651.15,
2025-05-12,660.07,
2025-05-13,664.13,
2025-05-14,652.47,
2025-05-15,651.88,
2025-05-16,646.76,
2025-05-17,639.51,
2025-05-18,651.53,
2025-05-19,649.62,
2025-05-20,650.0,
2025-05-21,650.61,
2025-05-22,,648.3109339796333
2025-05-23,,651.8469951558052
2025-05-24,,656.1007215112688
2025-05-25,,643.4094964589559
2025-05-26,,641.0406660664531
2025-05-27,,639.0597793551835
2025-05-28,,638.3712357805043
2025-05-29,,622.4840092506573
2025-05-30,,620.213526974735
2025-05-31,,626.4645338598741
2025-06-01,,610.453515230289
2025-06-02,,621.2570209039708
2025-06-03,,627.7221741604944
2025-06-04,,637.5070305041532
2025-06-05,,644.1689421258925
2025-06-06,,644.3281283197413
2025-06-07,,641.8297659082828
2025-06-08,,650.0064698034925
2025-06-09,,666.2026029020926
2025-06-10,,663.9717642318961
2025-06-11,,665.5553574503062
2025-06-12,,662.8304635012055
2025-06-13,,657.5005844867186
2025-06-14,,656.8455621848586
2025-06-15,,659.8168507145682
2025-06-16,,651.2212535981888
2025-06-17,,660.3355245472069
2025-06-18,,673.290096886671
2025-06-19,,674.772611766138
2025-06-20,,677.297442205097
2025-06-21,,687.7971060047487
2025-06-22,,697.7632585075726
2025-06-23,,721.0579557078673
2025-06-24,,741.6642426233126
2025-06-25,,788.7142249253061
2025-06-26,,838.3396335987029
2025-06-27,,825.6145357527987
2025-06-28,,830.3095143892793
2025-06-29,,855.7838300610644
2025-06-30,,883.1376041514757
2025-07-01,,885.455828405072
2025-07-02,,891.8125540982447
2025-07-03,,863.309248701908
2025-07-04,,835.81642307285
2025-07-05,,811.6977852757236
2025-07-06,,773.2289394216787
2025-07-07,,777.666539315708
2025-07-08,,767.6978357848492
2025-07-09,,761.4355229573241
2025-07-10,,742.9402845304038
2025-07-11,,730.3162301200313
2025-07-12,,740.5891469432755
2025-07-13,,724.8129612876534
2025-07-14,,708.4227211513881
2025-07-15,,699.1078095035199
2025-07-16,,706.5743807346769
2025-07-17,,711.4242543901296
2025-07-18,,687.0496899339491
2025-07-19,,693.2692572499923
2025-07-20,,698.873514272708
2025-07-21,,709.1497434100608
2025-07-22,,707.7250599735798
2025-07-23,,705.3385823538243
2025-07-24,,680.2724680121671
2025-07-25,,647.6369741637711
2025-07-26,,613.8984130433789
2025-07-27,,586.8534866878713
2025-07-28,,566.2409387330258
2025-07-29,,536.3722318961463
2025-07-30,,507.60780697782087
2025-07-31,,481.9783960285854
2025-08-01,,463.24605608652536
2025-08-02,,453.84402192380486
2025-08-03,,461.7178341779506
2025-08-04,,430.1927534490659
2025-08-05,,432.4088038742836
2025-08-06,,429.9192492698614
2025-08-07,,428.9843585700856
2025-08-08,,421.66596272751275
2025-08-09,,411.24985958350214
2025-08-10,,394.2649589999408
2025-08-11,,384.7312494261303
2025-08-12,,376.44200741068994
2025-08-13,,378.9750586012769
2025-08-14,,371.2599267307388
2025-08-15,,367.61984194780354
2025-08-16,,356.4302003156664
2025-08-17,,348.9726325402876
2025-08-18,,347.02565332893533
2025-08-19,,344.4434761364938
