,PC1,PC2,cluster
ADA-USD,-6.104422989169132,0.10740253677347522,0
AVAX-USD,-6.071661510964084,0.10114029915498411,0
BCH-USD,-5.687217804707161,0.036320085499914834,0
BGB-USD,-6.103098231738588,0.10825008334195832,0
BNB-USD,-5.51034581028566,0.0608482120184189,0
BTC-USD,66.08226826853063,0.08066741823719858,1
DOGE-USD,-6.104788276666985,0.10740961699239678,0
DOT-USD,-6.0986315556839275,0.1058376743546622,0
ETH-USD,-2.9727347883518638,-0.5068892381478601,2
HBAR-USD,-6.104854594883496,0.10740600425145265,0
LEO-USD,-6.098328770182527,0.1075673734430551,0
LINK-USD,-6.08937645196587,0.10598114096118241,0
LTC-USD,-6.021087661317966,0.10368201895855025,0
OM-USD,-6.1032584884113,0.10840112636937524,0
SHIB-USD,-6.104971162311332,0.10738449491402091,0
SOL-USD,-5.936558355771816,0.10112173959007434,0
STETH-USD,-2.9747022766066404,-0.5067852389227872,2
TON-USD,-6.10342940735575,0.10673005892111419,0
TRX-USD,-6.1048110193111205,0.10740167994018829,0
USDC-USD,-6.1039592343600395,0.10725893609170337,0
USDT-USD,-6.103959271786625,0.10725894302891273,0
WBTC-USD,66.02811182232426,0.014031196204784959,1
WETH-USD,-2.9717677285923614,-0.5072855946323749,2
WSTETH-USD,-2.4275783990597497,-0.586355221351736,2
XLM-USD,-6.104804291064859,0.10743427537438917,0
XRP-USD,-6.104032010306061,0.10778037863294532,0
